ts,Open,High,Low,Close,Volume,ma5,ma10,ma20,ma60,ma120,ma5.1,ma10.1,ma20.1,ma60.1,ma120.1,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-07-01,55.4,56.4,55.3,56.2,21218.0,55.12,53.89,53.3,53.3,53.3,55.12,53.89,53.3,53.3,53.3,93.75,90.51,87.53,0.83,0.39,0.44,55.12,53.89,53.3,53.3,53.3
2024-07-08,56.2,57.3,56.15,56.5,18414.0,55.62,54.41,53.52,53.52,53.52,55.62,54.41,53.52,53.52,53.52,75.0,85.34,86.8,0.94,0.49,0.46,55.62,54.41,53.52,53.52,53.52
2024-07-15,57.0,57.7,56.65,56.75,8654.0,56.01,54.8,53.74,53.74,53.74,56.01,54.8,53.74,53.74,53.74,68.85,79.84,84.48,1.03,0.59,0.45,56.01,54.8,53.74,53.74,53.74
2024-07-22,56.4,56.9,55.25,55.65,16755.0,56.13,55.04,53.86,53.86,53.86,56.13,55.04,53.86,53.86,53.86,29.31,63.0,77.32,0.99,0.66,0.33,56.13,55.04,53.86,53.86,53.86
2024-07-29,56.0,56.8,55.25,55.3,5713.0,56.08,55.28,53.94,53.94,53.94,56.08,55.28,53.94,53.94,53.94,2.04,42.68,65.77,0.91,0.7,0.2,56.08,55.28,53.94,53.94,53.94
2024-08-05,54.0,54.0,52.8,53.65,12247.0,55.57,55.35,53.93,53.93,53.93,55.57,55.35,53.93,53.93,53.93,17.35,34.24,55.26,0.69,0.7,-0.01,55.57,55.35,53.93,53.93,53.93
2024-08-12,53.85,56.2,53.85,56.1,3997.0,55.49,55.55,54.04,54.04,54.04,55.49,55.55,54.04,54.04,54.04,67.35,45.27,51.93,0.73,0.71,0.02,55.49,55.55,54.04,54.04,54.04
2024-08-19,55.95,56.05,55.45,55.8,5511.0,55.3,55.65,54.13,54.13,54.13,55.3,55.65,54.13,54.13,54.13,73.17,54.57,52.81,0.72,0.71,0.01,55.3,55.65,54.13,54.13,54.13
2024-08-26,56.0,56.1,55.5,55.9,4320.0,55.35,55.74,54.32,54.21,54.21,55.35,55.74,54.32,54.21,54.21,77.5,62.21,55.95,0.7,0.71,-0.0,55.35,55.74,54.32,54.21,54.21
2024-09-02,56.3,56.65,54.7,54.85,5292.0,55.26,55.67,54.55,54.24,54.24,55.26,55.67,54.55,54.24,54.24,53.25,59.23,57.04,0.59,0.69,-0.09,55.26,55.67,54.55,54.24,54.24
