ts,Open,High,Low,Close,Volume,RSV,%K,%D,MACD,Signal,Histogram,ma5,ma10,ma20,ma60,ma120
2024-06-27,183.6,185.3,183.4,185.3,6180,53.57,55.17,64.33,3.94,3.95,-0.01,185.43,184.78,178.12,167.51,167.51
2024-06-28,185.3,187.4,184.65,186.45,4114,85.61,65.32,64.66,3.81,3.93,-0.11,185.0,185.43,179.04,167.84,167.84
2024-07-01,186.55,188.05,186.25,186.6,7158,80.0,70.21,66.51,3.67,3.88,-0.21,185.52,186.09,180.07,168.16,168.16
2024-07-02,185.95,186.75,184.5,185.35,5426,41.94,60.79,64.6,3.38,3.79,-0.41,185.81,186.32,180.86,168.44,168.44
2024-07-03,187.6,187.6,186.4,187.6,6444,90.32,70.63,66.61,3.31,3.7,-0.39,186.26,186.29,181.9,168.91,168.76
2024-07-04,190.6,192.65,190.6,192.5,12605,98.16,79.81,71.01,3.62,3.69,-0.06,187.7,186.56,183.1,169.4,169.14
2024-07-05,192.6,192.85,191.55,191.8,9707,87.43,82.35,74.79,3.73,3.7,0.04,188.77,186.88,183.98,169.88,169.5
2024-07-08,191.9,198.5,191.85,197.85,17299,95.36,86.68,78.75,4.27,3.8,0.47,191.02,188.27,185.23,170.47,169.94
2024-07-09,197.45,200.05,195.45,197.65,15443,82.42,85.26,80.92,4.58,3.94,0.64,193.48,189.64,186.45,171.06,170.37
2024-07-10,196.95,198.4,195.0,198.35,7133,82.01,84.18,82.01,4.79,4.1,0.69,195.63,190.94,187.55,171.7,170.79
2024-07-11,200.65,202.8,200.0,202.75,9752,99.56,89.3,84.44,5.24,4.3,0.94,197.68,192.69,188.74,172.48,171.27
2024-07-12,198.2,198.35,196.0,196.35,14119,41.1,73.23,80.7,4.93,4.42,0.51,198.59,193.68,189.56,173.13,171.64
2024-07-15,197.65,198.1,196.1,196.7,9754,21.79,56.09,72.5,4.65,4.46,0.19,198.36,194.69,190.39,173.76,172.0
2024-07-16,196.55,199.0,196.0,196.85,13208,23.72,45.3,63.43,4.37,4.44,-0.07,198.2,195.84,191.08,174.53,172.36
2024-07-17,196.4,196.5,193.6,194.1,14460,5.43,32.01,52.96,3.85,4.34,-0.49,197.35,196.49,191.39,175.26,172.66
2024-07-18,188.6,190.9,188.2,190.6,17843,22.22,28.75,44.89,3.1,4.11,-1.01,194.92,196.3,191.43,175.9,172.91
2024-07-19,188.75,189.0,186.2,186.25,16364,0.39,19.3,36.36,2.11,3.75,-1.64,192.9,195.74,191.32,176.4,173.09
2024-07-22,185.4,185.4,180.05,180.7,21126,3.43,14.01,28.91,0.86,3.22,-2.36,189.7,194.03,191.15,176.85,173.2
2024-07-23,183.7,186.3,183.7,186.3,12402,37.99,22.0,26.61,0.4,2.71,-2.3,187.59,192.9,191.27,177.36,173.37
2024-07-26,178.05,179.45,177.1,179.0,25864,13.77,19.26,24.16,-0.57,2.11,-2.68,184.57,190.96,190.95,177.7,173.45
2024-07-29,181.8,182.0,179.95,180.6,9909,29.41,22.64,23.65,-1.15,1.52,-2.67,182.57,188.74,190.72,178.07,173.54
2024-07-30,179.25,181.3,177.5,180.6,13070,38.04,27.78,25.03,-1.55,0.96,-2.51,181.44,187.17,190.42,178.48,173.63
2024-07-31,178.85,181.15,178.6,180.85,8987,40.76,32.1,27.39,-1.8,0.46,-2.26,181.47,185.58,190.14,178.87,173.72
2024-08-01,185.0,185.1,182.7,184.0,14038,86.25,50.15,34.97,-1.68,0.07,-1.75,181.01,184.3,190.07,179.29,173.85
2024-08-02,178.15,178.9,174.7,174.7,29473,0.0,33.44,34.46,-2.37,-0.37,-2.0,180.15,182.36,189.42,179.53,173.86
2024-08-05,166.65,166.65,158.4,158.75,55120,1.31,22.73,30.55,-4.22,-1.07,-3.15,175.78,179.18,187.74,179.5,173.68
2024-08-06,167.3,170.4,160.8,167.5,62935,34.08,26.51,29.2,-4.76,-1.74,-3.02,173.16,177.3,186.52,179.61,173.6
2024-08-07,169.85,174.75,169.0,174.15,31715,58.99,37.34,31.92,-4.5,-2.25,-2.26,171.82,176.64,185.34,179.82,173.61
2024-08-08,171.05,172.4,169.0,170.55,25699,59.27,44.65,36.16,-4.54,-2.66,-1.88,169.13,175.07,183.98,179.94,173.57
2024-08-09,175.0,176.9,174.5,175.85,23317,94.32,61.21,44.51,-4.04,-2.91,-1.12,169.36,174.76,182.86,180.13,173.6
2024-08-12,177.25,179.8,177.25,178.05,17512,90.79,71.07,53.36,-3.4,-3.0,-0.4,173.22,174.5,181.62,180.32,173.65
2024-08-13,179.3,179.5,178.0,178.5,10803,87.96,76.7,61.14,-2.83,-2.97,0.14,175.42,174.29,180.73,180.51,173.7
2024-08-14,180.35,181.85,179.95,180.75,18674,91.44,81.61,67.96,-2.17,-2.82,0.66,176.74,174.28,179.93,180.73,173.78
2024-08-15,180.6,181.0,179.05,179.35,11438,65.99,76.4,70.78,-1.76,-2.63,0.87,178.5,173.82,179.06,180.94,173.85
2024-08-16,183.0,183.65,182.35,183.4,13157,96.09,82.97,74.84,-1.08,-2.35,1.27,180.01,174.68,178.52,181.21,173.95
2024-08-19,183.5,184.7,183.15,183.65,9239,84.33,83.42,77.7,-0.53,-2.02,1.49,181.13,177.18,178.18,181.44,174.06
2024-08-20,184.6,185.2,183.7,183.75,10710,76.42,81.09,78.83,-0.11,-1.67,1.56,182.18,178.8,178.05,181.64,174.16
2024-08-21,183.0,183.05,181.45,181.8,11664,44.72,68.96,75.54,0.04,-1.36,1.4,182.39,179.56,178.1,181.83,174.24
2024-08-22,182.1,182.6,180.35,180.85,5198,10.31,49.41,66.83,0.06,-1.1,1.16,182.69,180.6,177.83,181.96,174.31
